season,model,graph_connected,n,log_loss,margin_mae,accuracy
2008,massey,True,236,1.0667905373540176,12.477378146040472,0.6297872340425532
2009,bayesian_margin,False,32,0.6300757893395788,10.268559293832471,0.5625
2009,bayesian_margin,True,219,0.6227654304219654,12.231210808816792,0.634703196347032
2009,bradley_terry,False,32,0.6404709002400504,,0.59375
2009,bradley_terry,True,219,0.6325009557355857,,0.6575342465753424
2009,elo,False,32,0.6836118107953479,11.302397049529596,0.5
2009,elo,True,219,0.6464580481933183,12.663468078719067,0.6529680365296804
2009,massey,False,32,3.429401055136811,14.069725975976512,0.625
2009,massey,True,219,0.6465371146593853,12.620538810919308,0.634703196347032
2010,bayesian_margin,False,32,0.8502031715918188,13.19721487373188,0.5
2010,bayesian_margin,True,219,0.660470860944048,11.250127505575842,0.6027397260273972
2010,bradley_terry,False,32,0.8435198577419749,,0.5
2010,bradley_terry,True,219,0.6537151857424192,,0.6164383561643836
2010,elo,False,32,0.7033108887780017,12.158166832481003,0.5
2010,elo,True,219,0.6655538828009055,11.30128422306597,0.6073059360730594
2010,massey,False,32,4.778074924541775,19.820141825229033,0.46875
2010,massey,True,219,0.6836764001694614,11.984918646257814,0.593607305936073
2011,bayesian_margin,False,32,0.6241674842156621,10.196930775716169,0.59375
2011,bayesian_margin,True,219,0.6196351396598183,10.898979532195753,0.6621004566210046
2011,bradley_terry,False,32,0.6309732627171029,,0.6875
2011,bradley_terry,True,219,0.6361905084929207,,0.634703196347032
2011,elo,False,32,0.6566305803526127,8.956270218505527,0.65625
2011,elo,True,219,0.6509138195955217,11.56519092630265,0.593607305936073
2011,massey,False,32,4.348733137895477,17.9473384609868,0.65625
2011,massey,True,219,0.6427075743187515,11.826424233572261,0.6438356164383562
2012,bayesian_margin,False,32,0.7576784163258802,11.454216821761946,0.625
2012,bayesian_margin,True,219,0.6143620768727748,11.061930732466639,0.6376146788990825
2012,bradley_terry,False,32,0.7476198230472981,,0.53125
2012,bradley_terry,True,219,0.6274258632156182,,0.6330275229357798
2012,elo,False,32,0.6584683001370761,9.964827065296838,0.6875
2012,elo,True,219,0.6544269597968715,11.652147229914503,0.6330275229357798
2012,massey,False,32,7.188203012760144,17.936516608391653,0.34375
2012,massey,True,219,0.6021771261629575,11.900644178909372,0.6467889908256881
2013,bayesian_margin,False,32,0.5926232743109212,9.834053679616794,0.625
2013,bayesian_margin,True,219,0.6155801190497541,10.314046583633724,0.6376146788990825
2013,bradley_terry,False,32,0.5857858510352087,,0.71875
2013,bradley_terry,True,219,0.6350177216906981,,0.6284403669724771
2013,elo,False,32,0.6247832416832905,10.648430250354968,0.71875
2013,elo,True,219,0.6478716413119421,10.84178828362867,0.6513761467889908
2013,massey,False,32,3.2561915275562496,10.378303581394064,0.625
2013,massey,True,219,0.6684632890732924,11.14210692917771,0.6376146788990825
2014,bayesian_margin,False,32,0.7194487086242923,13.390004463223764,0.59375
2014,bayesian_margin,True,219,0.6326512878227373,11.69803591119127,0.6146788990825688
2014,bradley_terry,False,32,0.7278246182228303,,0.53125
2014,bradley_terry,True,219,0.6210645668745157,,0.6238532110091743
2014,elo,False,32,0.6938402890773516,13.065714890260537,0.5625
2014,elo,True,219,0.6448526259099656,11.89879807558839,0.6100917431192661
2014,massey,False,32,6.051098223028602,27.044814560439477,0.4375
2014,massey,True,219,0.6173816214499227,12.190562094096311,0.6559633027522935
2015,bayesian_margin,False,32,0.7144728251946477,12.55443939026361,0.40625
2015,bayesian_margin,True,219,0.656528001456732,10.20213478779401,0.6210045662100456
2015,bradley_terry,False,32,0.6873486207765411,,0.59375
2015,bradley_terry,True,219,0.6557630680808332,,0.6073059360730594
2015,elo,False,32,0.6855812415465016,12.091893530687674,0.53125
2015,elo,True,219,0.6662836655706745,10.342121640751733,0.593607305936073
2015,massey,False,32,6.431184521725268,22.454741379310306,0.5625
2015,massey,True,219,0.6897830951751419,11.164453273761369,0.5981735159817352
2016,bayesian_margin,False,16,0.6685724707971643,9.640049832457027,0.625
2016,bayesian_margin,True,235,0.632515554874747,9.739050583019889,0.6437768240343348
2016,bradley_terry,False,16,0.7114540730622427,,0.5
2016,bradley_terry,True,235,0.6275896022625268,,0.6266094420600858
2016,elo,False,16,0.6706852037987001,9.658728278376735,0.625
2016,elo,True,235,0.6433540369833516,9.92990737161152,0.6394849785407726
2016,massey,False,16,6.00653700319706,11.000000000000002,0.6875
2016,massey,True,235,1.393793150598704,13.375723659703123,0.6051502145922747
2017,bayesian_margin,False,14,0.7075855675640091,12.562467162740157,0.2857142857142857
2017,bayesian_margin,True,236,0.6323524247475619,10.453408036190174,0.652542372881356
2017,bradley_terry,False,14,0.7063228831069411,,0.42857142857142855
2017,bradley_terry,True,236,0.6320801899690072,,0.6186440677966102
2017,elo,False,16,0.6798998917913299,11.958771721623267,0.5625
2017,elo,True,236,0.6477668986587473,10.808885154496297,0.6228813559322034
2017,massey,False,14,6.718720429928695,13.758403361344543,0.5714285714285714
2017,massey,True,236,1.1097927550837043,12.128664047442914,0.673728813559322
2018,bayesian_margin,False,16,0.7488451827582806,9.068643897527732,0.26666666666666666
2018,bayesian_margin,True,235,0.6474289706756694,10.322953039608471,0.6127659574468085
2018,bradley_terry,False,16,0.7029361436509445,,0.4
2018,bradley_terry,True,235,0.6476318032408844,,0.6212765957446809
2018,elo,False,16,0.6419161933974585,7.530043443246531,0.7333333333333333
2018,elo,True,235,0.6538066695019017,10.439302785772808,0.6297872340425532
2018,massey,False,16,9.300366718309673,10.958333333333332,0.3333333333333333
2018,massey,True,235,1.3503157700097654,12.507820672282318,0.6
2019,bayesian_margin,False,16,0.6650311545076414,10.637063385003529,0.5625
2019,bayesian_margin,True,235,0.6500150938316228,10.548920912502453,0.6382978723404256
2019,bradley_terry,False,16,0.6756232166652207,,0.5625
2019,bradley_terry,True,235,0.651907007666428,,0.6127659574468085
2019,elo,False,16,0.7232021585836526,11.556271721623267,0.375
2019,elo,True,235,0.6641992006924078,11.001101812818124,0.6
2019,massey,False,16,6.783970077910537,11.9375,0.5625
2019,massey,True,235,1.3614509425737313,12.77739055797614,0.6127659574468085
2020,bayesian_margin,False,32,0.7261150240222927,10.28894914488906,0.6129032258064516
2020,bayesian_margin,True,221,0.6310032777131731,10.286258188331397,0.6787330316742082
2020,bradley_terry,False,32,0.6617684121537246,,0.7096774193548387
2020,bradley_terry,True,221,0.6281863218346044,,0.6289592760180995
2020,elo,False,32,0.6688736030009613,10.001950285758582,0.5483870967741935
2020,elo,True,221,0.662136705728418,10.731926779899293,0.583710407239819
2020,massey,False,32,1.1744002060530923,11.571614583333332,0.6451612903225806
