season,date,week,game_type,home_franchise,away_franchise,home_score,away_score,neutral_site,overtime,source,margin,game_uid
1971,1971-10-10,,REG,SF,LAR,13,20,False,,fivethirtyeight,-7,G000239
1971,1971-10-11,,REG,DAL,NYG,20,13,False,,fivethirtyeight,7,G000240
1971,1971-10-17,,REG,NO,DAL,24,14,False,,fivethirtyeight,10,G000241
1971,1971-10-17,,REG,WSH,ARI,20,0,False,,fivethirtyeight,20,G000242
1971,1971-10-17,,REG,DEN,LAC,20,16,False,,fivethirtyeight,4,G000243
1971,1971-10-17,,REG,NYG,IND,7,31,False,,fivethirtyeight,-24,G000244
1971,1971-10-17,,REG,NYJ,BUF,28,17,False,,fivethirtyeight,11,G000245
1971,1971-10-17,,REG,TEN,DET,7,31,False,,fivethirtyeight,-24,G000246
1971,1971-10-17,,REG,OAK,PHI,34,10,False,,fivethirtyeight,24,G000247
1971,1971-10-17,,REG,ATL,LAR,16,24,False,,fivethirtyeight,-8,G000248
1971,1971-10-17,,REG,SF,CHI,13,0,False,,fivethirtyeight,13,G000249
1971,1971-10-17,,REG,MIA,NE,41,3,False,,fivethirtyeight,38,G000250
1971,1971-10-17,,REG,CIN,CLE,24,27,False,,fivethirtyeight,-3,G000251
1971,1971-10-17,,REG,GB,MIN,13,24,False,,fivethirtyeight,-11,G000252
1971,1971-10-18,,REG,KC,PIT,38,16,False,,fivethirtyeight,22,G000253
1971,1971-10-23,,REG,LAC,BUF,20,3,False,,fivethirtyeight,17,G000254
1971,1971-10-24,,REG,ARI,SF,14,26,False,,fivethirtyeight,-12,G000255
1971,1971-10-24,,REG,LAR,GB,30,13,False,,fivethirtyeight,17,G000256
1971,1971-10-24,,REG,OAK,CIN,31,27,False,,fivethirtyeight,4,G000257
1971,1971-10-24,,REG,PIT,TEN,23,16,False,,fivethirtyeight,7,G000258
1971,1971-10-24,,REG,PHI,NYG,23,7,False,,fivethirtyeight,16,G000259
1971,1971-10-24,,REG,NYJ,MIA,14,30,False,,fivethirtyeight,-16,G000260
1971,1971-10-24,,REG,KC,WSH,27,20,False,,fivethirtyeight,7,G000261
1971,1971-10-24,,REG,DET,CHI,23,28,False,,fivethirtyeight,-5,G000262
1971,1971-10-24,,REG,DAL,NE,44,21,False,,fivethirtyeight,23,G000263
1971,1971-10-24,,REG,ATL,NO,28,6,False,,fivethirtyeight,22,G000264
1971,1971-10-24,,REG,CLE,DEN,0,27,False,,fivethirtyeight,-27,G000265
1971,1971-10-25,,REG,MIN,IND,10,3,False,,fivethirtyeight,7,G000266
1971,1971-10-31,,REG,LAC,NYJ,49,21,False,,fivethirtyeight,28,G000267
1971,1971-10-31,,REG,TEN,CIN,10,6,False,,fivethirtyeight,4,G000268
1971,1971-10-31,,REG,LAR,MIA,14,20,False,,fivethirtyeight,-6,G000269
1971,1971-10-31,,REG,CHI,DAL,23,19,False,,fivethirtyeight,4,G000270
1971,1971-10-31,,REG,NYG,MIN,10,17,False,,fivethirtyeight,-7,G000271
1971,1971-10-31,,REG,CLE,ATL,14,31,False,,fivethirtyeight,-17,G000272
1971,1971-10-31,,REG,OAK,KC,20,20,False,,fivethirtyeight,0,G000273
1971,1971-10-31,,REG,BUF,ARI,23,28,False,,fivethirtyeight,-5,G000274
1971,1971-10-31,,REG,IND,PIT,34,21,False,,fivethirtyeight,13,G000275
1971,1971-10-31,,REG,PHI,DEN,17,16,False,,fivethirtyeight,1,G000276
1971,1971-10-31,,REG,WSH,NO,24,14,False,,fivethirtyeight,10,G000277
1971,1971-10-31,,REG,SF,NE,27,10,False,,fivethirtyeight,17,G000278
