franchise,season,era,games,wins,losses,ties,record,explosive_per_game,explosive_allowed_per_game,explosive_diff_per_game,explosive_rate_per_play,turnover_diff_per_game,points_per_game,margin_per_game,bayes_rating_z,won_super_bowl,reached_super_bowl
NO,2008,2008-2016,16,8,8,0,8-8-0,6.125,6.125,0.0,0.09477756286266925,0.25,28.9375,4.375,0.5689536373701608,False,False
NE,2018,2017-2025,16,11,5,0,11-5-0,7.375,7.375,0.0,0.11216730038022814,-0.625,27.25,6.9375,1.4214618978015967,True,True
IND,2024,2017-2025,17,8,9,0,8-9-0,6.764705882352941,6.764705882352941,0.0,0.11121856866537717,0.23529411764705882,22.176470588235293,-2.9411764705882355,-0.5939900556262894,False,False
PHI,2014,2008-2016,16,10,6,0,10-6-0,7.3125,7.3125,0.0,0.1055004508566276,0.4375,29.625,4.625,0.7576808135278859,False,False
BAL,2007,1999-2007,16,5,11,0,5-11-0,4.75,4.75,0.0,0.07364341085271318,1.0,17.1875,-6.8125,-0.990583365286976,False,False
BUF,2008,2008-2016,16,7,9,0,7-9-0,5.5625,5.5625,0.0,0.09478168264110756,0.4375,21.0,-0.375,-0.3331391687940239,False,False
SEA,2001,1999-2007,16,9,7,0,9-7-0,5.75,5.75,0.0,0.09378185524974515,-0.375,18.8125,-1.4375,-0.2713049227947816,False,False
LAC,2013,2008-2016,16,9,7,0,9-7-0,6.25,6.25,0.0,0.0949667616334283,0.25,24.75,3.0,0.6560077907756461,False,False
MIA,2014,2008-2016,16,8,8,0,8-8-0,5.9375,5.9375,0.0,0.09250243427458617,-0.125,24.25,0.9375,0.2180082835429896,False,False
NYJ,2022,2017-2025,17,7,10,0,7-10-0,5.529411764705882,5.588235294117647,-0.058823529411764705,0.08842897460018814,0.4117647058823529,17.41176470588235,-1.1764705882352942,-0.0435006945583542,False,False
GB,2021,2017-2025,17,13,4,0,13-4-0,5.705882352941177,5.764705882352941,-0.058823529411764705,0.09220532319391635,-0.7647058823529411,26.470588235294116,4.647058823529412,0.833947401979029,False,False
CAR,2025,2017-2025,17,8,9,0,8-9-0,5.176470588235294,5.235294117647059,-0.058823529411764705,0.08835341365461848,0.11764705882352941,18.294117647058822,-4.0588235294117645,-0.5278529764290749,False,False
NE,2012,2008-2016,16,12,4,0,12-4-0,7.3125,7.375,-0.0625,0.09906858594411516,-1.5625,34.8125,14.125,1.766004646127493,False,False
NYG,2007,1999-2007,16,10,6,0,10-6-0,5.4375,5.5,-0.0625,0.08487804878048781,0.5625,23.3125,1.375,0.735494570464491,True,True
JAX,2011,2008-2016,16,5,11,0,5-11-0,5.0625,5.125,-0.0625,0.08206686930091185,-0.3125,15.1875,-5.375,-0.9142842974336152,False,False
