season,metric,n,r,ci_lo,ci_hi
2023,turnover_diff_per_game,32,0.09482878798539926,-0.2625466077267786,0.42932654914030205
2023,margin_per_game,32,0.5736183672600266,0.28116156455212915,0.7685825559704239
2023,yards_per_play,32,0.6021819063231163,0.3208615448929878,0.7858626399789717
2024,explosive_rate_per_play,32,0.6499127346218903,0.38948384795582425,0.8141120919287473
2024,explosive_diff_per_game,32,0.6274430261599936,0.35681505101723354,0.8009095253640357
2024,turnovers_per_game,32,0.18642521511194493,-0.1735504633160195,0.5024568055193221
2024,turnover_diff_per_game,32,0.32987046657996616,-0.02127006853324826,0.6085649568619633
2024,margin_per_game,32,0.5912749750061906,0.3055846124309957,0.779297954293994
2024,yards_per_play,32,0.7614497014019422,0.5619645902735475,0.8772282404006808
2025,explosive_rate_per_play,32,0.2906602125597154,-0.06457892621972425,0.5805178490842778
2025,explosive_diff_per_game,32,0.425744681246522,0.09048338636292777,0.6743310960825274
2025,turnovers_per_game,32,0.10388265904494688,-0.25401246998538723,0.4367559077351528
2025,turnover_diff_per_game,32,0.3793276599209052,0.0353032210141575,0.6429757044399661
2025,margin_per_game,32,0.3979923630040187,0.057242344494214115,0.6556911326046894
2025,yards_per_play,32,0.5018292074867559,0.1856150539458916,0.723858865298088
