game_id,season,week,game_type,team,opponent,points_for,points_against,is_home,plays,pass_plays,rush_plays,dropbacks,sacks_taken,negative_plays,yards,epa_total,explosive_20_10,explosive_25_15,explosive_20_20,explosive_epa2,explosive_20_10_ng,explosive_25_15_ng,explosive_20_20_ng,explosive_epa2_ng,turnovers,turnovers_ng,turnovers_scrimmage,turnovers_scrimmage_ng,def_plays_made,drives,drive_plays_total,drive_seconds_total,franchise,opp_franchise,margin,win,explosive_20_10_diff,explosive_25_15_diff,explosive_20_20_diff,explosive_epa2_diff,explosive_20_10_ng_diff,explosive_25_15_ng_diff,explosive_20_20_ng_diff,explosive_epa2_ng_diff,turnovers_diff,turnovers_ng_diff,turnovers_scrimmage_diff,turnovers_scrimmage_ng_diff,yards_diff
1999_02_SD_CIN,1999,2,REG,LAC,CIN,34,7,False,69,35,34,35,4,13,269.0,-4.3280211438976135,5,3,2,4,3,2,2,3,0.0,0.0,0.0,0.0,10,15,80.0,2364.0,LAC,CIN,27,1.0,1,2,-1,2,0,1,0,2,-5.0,-4.0,-3.0,-3.0,90.0
1999_02_SEA_CHI,1999,2,REG,CHI,SEA,13,14,True,75,46,29,46,3,7,304.0,-4.590193000310191,4,1,2,2,4,1,2,2,1.0,1.0,1.0,1.0,10,12,81.0,1917.0,CHI,SEA,-1,0.0,-5,-4,-5,-2,-5,-4,-5,-2,-2.0,-2.0,-2.0,-2.0,-39.0
1999_02_SEA_CHI,1999,2,REG,SEA,CHI,14,13,False,62,36,26,36,6,7,343.0,-0.0428898012614809,9,5,7,4,9,5,7,4,3.0,3.0,3.0,3.0,7,13,67.0,1744.0,SEA,CHI,1,1.0,5,4,5,2,5,4,5,2,2.0,2.0,2.0,2.0,39.0
1999_02_TB_PHI,1999,2,REG,PHI,TB,5,19,True,57,37,20,37,9,11,150.0,-19.161556821812574,3,2,2,2,2,1,1,1,1.0,1.0,1.0,1.0,12,13,62.0,1569.0,PHI,TB,-14,0.0,-3,0,0,-2,-4,-1,-1,-3,-1.0,0.0,-1.0,0.0,-71.0
1999_02_TB_PHI,1999,2,REG,TB,PHI,19,5,False,59,16,43,16,2,10,221.0,-8.509624950874151,6,2,2,4,6,2,2,4,2.0,1.0,2.0,1.0,11,13,62.0,2031.0,TB,PHI,14,1.0,3,0,0,2,4,1,1,3,1.0,0.0,1.0,0.0,71.0
1999_02_WAS_NYG,1999,2,REG,NYG,WAS,21,50,True,56,39,17,39,2,5,373.0,-6.360486313526053,6,4,5,8,3,2,2,5,3.0,1.0,2.0,1.0,5,13,58.0,1610.0,NYG,WSH,-29,0.0,-2,0,1,0,-1,-1,-1,1,3.0,1.0,2.0,1.0,-9.0
1999_02_WAS_NYG,1999,2,REG,WAS,NYG,50,21,False,65,27,38,28,0,7,382.0,22.135833168462014,8,4,4,8,4,3,3,4,0.0,0.0,0.0,0.0,6,14,72.0,2055.0,WSH,NYG,29,1.0,2,0,-1,0,1,1,1,-1,-3.0,-1.0,-2.0,-1.0,9.0
1999_03_ATL_STL,1999,3,REG,LA,ATL,35,7,True,58,24,34,24,0,5,442.0,19.457869707024656,9,4,6,6,5,4,4,3,0.0,0.0,0.0,0.0,5,10,59.0,1947.0,LAR,ATL,28,1.0,6,3,5,4,4,4,4,3,-1.0,-1.0,-1.0,-1.0,215.0
1999_03_ATL_STL,1999,3,REG,ATL,LA,7,35,False,54,32,22,32,2,4,227.0,-12.101911895209923,3,1,1,2,1,0,0,0,1.0,1.0,1.0,1.0,5,10,55.0,1653.0,ATL,LAR,-28,0.0,-6,-3,-5,-4,-4,-4,-4,-3,1.0,1.0,1.0,1.0,-215.0
1999_03_CHI_OAK,1999,3,REG,LV,CHI,24,17,True,61,38,23,38,4,8,395.0,6.371340712882905,5,2,2,5,5,2,2,5,5.0,5.0,3.0,3.0,7,12,66.0,2069.0,OAK,CHI,7,1.0,2,0,-1,-1,2,0,-1,-1,2.0,2.0,0.0,0.0,168.0
1999_03_CHI_OAK,1999,3,REG,CHI,LV,17,24,False,51,37,14,37,3,6,227.0,-7.561342770457181,3,2,3,6,3,2,3,6,3.0,3.0,3.0,3.0,12,13,57.0,1531.0,CHI,OAK,-7,0.0,-2,0,1,1,-2,0,1,1,-2.0,-2.0,0.0,0.0,-168.0
1999_03_CIN_CAR,1999,3,REG,CAR,CIN,27,3,True,40,24,16,24,1,7,345.0,7.579629904175469,3,3,3,5,3,3,3,3,2.0,2.0,1.0,1.0,5,10,44.0,1356.0,CAR,CIN,24,1.0,-4,0,0,1,-3,0,0,1,1.0,1.0,0.0,0.0,-22.0
1999_03_CIN_CAR,1999,3,REG,CIN,CAR,3,27,False,73,46,27,46,3,4,367.0,-2.4216248952686295,7,3,3,4,6,3,3,2,1.0,1.0,1.0,1.0,9,10,78.0,2244.0,CIN,CAR,-24,0.0,4,0,0,-1,3,0,0,-1,-1.0,-1.0,0.0,0.0,22.0
1999_03_CLE_BAL,1999,3,REG,BAL,CLE,17,10,True,63,29,34,29,4,4,337.0,-13.17543473027333,7,6,3,2,6,5,2,2,3.0,3.0,3.0,3.0,7,16,67.0,1972.0,BAL,CLE,7,1.0,3,4,2,-1,2,3,1,-1,1.0,1.0,1.0,1.0,149.0
1999_03_CLE_BAL,1999,3,REG,CLE,BAL,10,17,False,58,34,24,34,4,7,188.0,-19.582689304172135,4,2,1,3,4,2,1,3,2.0,2.0,2.0,2.0,8,14,61.0,1628.0,CLE,BAL,-7,0.0,-3,-4,-2,1,-2,-3,-1,1,-1.0,-1.0,-1.0,-1.0,-149.0
1999_03_DEN_TB,1999,3,REG,TB,DEN,13,10,True,65,25,40,25,7,11,236.0,-13.25073953415769,4,4,2,2,4,4,2,2,2.0,2.0,1.0,1.0,4,12,70.0,2219.0,TB,DEN,3,1.0,3,4,1,1,3,4,1,1,1.0,1.0,0.0,0.0,63.0
1999_03_DEN_TB,1999,3,REG,DEN,TB,10,13,False,49,29,20,29,2,3,173.0,-15.536446538813513,1,0,1,1,1,0,1,1,1.0,1.0,1.0,1.0,13,12,52.0,1381.0,DEN,TB,-3,0.0,-3,-4,-1,-1,-3,-4,-1,-1,-1.0,-1.0,0.0,0.0,-63.0
1999_03_DET_KC,1999,3,REG,KC,DET,31,21,True,64,30,34,30,1,4,384.0,10.399956461133819,6,3,4,5,5,3,4,5,0.0,0.0,0.0,0.0,8,14,66.0,1867.0,KC,DET,10,1.0,-4,-3,-4,-2,-1,-1,0,1,-2.0,-1.0,-2.0,-1.0,71.0
1999_03_DET_KC,1999,3,REG,DET,KC,21,31,False,62,40,22,40,4,6,313.0,1.624708950083237,10,6,8,7,6,4,4,4,2.0,1.0,2.0,1.0,3,14,60.0,1733.0,DET,KC,-10,0.0,4,3,4,2,1,1,0,-1,2.0,1.0,2.0,1.0,-71.0
1999_03_IND_SD,1999,3,REG,LAC,IND,19,27,True,65,40,25,40,3,5,274.0,-9.042481469042055,3,1,1,1,3,1,1,1,1.0,1.0,1.0,1.0,4,12,71.0,1864.0,LAC,IND,-8,0.0,-2,-2,-2,-6,-2,-2,-2,-6,0.0,0.0,0.0,0.0,-184.0
1999_03_IND_SD,1999,3,REG,IND,LAC,27,19,False,74,53,21,53,0,3,458.0,19.584721713232376,5,3,3,7,5,3,3,7,1.0,1.0,1.0,1.0,7,12,80.0,1893.0,IND,LAC,8,1.0,2,2,2,6,2,2,2,6,0.0,0.0,0.0,0.0,184.0
1999_03_MIN_GB,1999,3,REG,GB,MIN,23,20,True,61,40,21,40,2,4,354.0,11.1597884519562,4,1,4,4,4,1,4,4,0.0,0.0,0.0,0.0,7,9,81.0,2153.0,GB,MIN,3,1.0,-4,-1,-1,-1,-4,-1,-1,-1,-2.0,-2.0,-2.0,-2.0,22.0
1999_03_MIN_GB,1999,3,REG,MIN,GB,20,23,False,61,33,28,33,2,4,332.0,5.42383105713219,8,2,5,5,8,2,5,5,2.0,2.0,2.0,2.0,4,9,65.0,1854.0,MIN,GB,-3,0.0,4,1,1,1,4,1,1,1,2.0,2.0,2.0,2.0,-22.0
1999_03_NYG_NE,1999,3,REG,NE,NYG,16,14,True,56,29,27,29,1,7,291.0,0.6521779617517915,4,2,2,3,4,2,2,3,0.0,0.0,0.0,0.0,5,10,61.0,1841.0,NE,NYG,2,1.0,0,1,-2,-1,0,1,-2,0,0.0,0.0,0.0,0.0,18.0
1999_03_NYG_NE,1999,3,REG,NYG,NE,14,16,False,62,36,26,36,0,4,273.0,3.6096688783578985,4,1,4,4,4,1,4,3,0.0,0.0,0.0,0.0,6,9,64.0,1759.0,NYG,NE,-2,0.0,0,-1,2,1,0,-1,2,0,0.0,0.0,0.0,0.0,-18.0
