season,date,week,game_type,home_franchise,away_franchise,home_score,away_score,neutral_site,overtime,source,margin,game_uid,week_index,n_weeks,phase,home_conf,away_conf,indoor,div_game,home_win,decade,phase_label,adj_margin,home_status,away_status,home_games_back,away_games_back
1970,1970-11-08,,REG,WSH,MIN,10,19,False,,fivethirtyeight,-9,G000096,8,14,2,NFC,NFC,,,0.0,1970s,Middle third,3.1122665964403016,alive,alive,1.0,-1.0
1970,1970-11-08,,REG,OAK,CLE,23,20,False,,fivethirtyeight,3,G000097,8,14,2,AFC,AFC,,,1.0,1970s,Middle third,2.524574253571695,alive,alive,0.0,0.0
1970,1970-11-08,,REG,PIT,NYJ,21,17,False,,fivethirtyeight,4,G000098,8,14,2,AFC,AFC,,,1.0,1970s,Middle third,6.552852151792249,alive,longshot,1.0,3.0
1970,1970-11-08,,REG,PHI,MIA,24,17,False,,fivethirtyeight,7,G000099,8,14,2,NFC,AFC,,,1.0,1970s,Middle third,10.144863263700248,longshot,alive,5.0,0.0
1970,1970-11-08,,REG,NYG,DAL,23,20,False,,fivethirtyeight,3,G000100,8,14,2,NFC,NFC,,,1.0,1970s,Middle third,7.992403730608011,alive,alive,1.0,0.0
1970,1970-11-08,,REG,KC,TEN,24,9,False,,fivethirtyeight,15,G000101,8,14,2,AFC,AFC,,,1.0,1970s,Middle third,4.229115098970976,alive,alive,0.5,1.5
1970,1970-11-08,,REG,CHI,SF,16,37,False,,fivethirtyeight,-21,G000102,8,14,2,NFC,NFC,,,0.0,1970s,Middle third,-16.699471183741956,alive,alive,2.0,-0.5
1970,1970-11-09,,REG,GB,IND,10,13,False,,fivethirtyeight,-3,G000103,8,14,2,NFC,AFC,,,0.0,1970s,Middle third,-0.7528569534855203,alive,alive,1.0,-2.0
1970,1970-11-15,,REG,IND,BUF,17,17,False,,fivethirtyeight,0,G000104,9,14,2,AFC,AFC,,,0.5,1970s,Middle third,-12.698475712791021,alive,alive,-3.0,1.0
1970,1970-11-15,,REG,CIN,CLE,14,10,False,,fivethirtyeight,4,G000105,9,14,2,AFC,AFC,,,1.0,1970s,Middle third,4.013232417567371,alive,alive,2.0,0.0
1970,1970-11-15,,REG,LAR,NYJ,20,31,False,,fivethirtyeight,-11,G000106,9,14,2,NFC,AFC,,,0.0,1970s,Middle third,-25.494982281284734,alive,longshot,-0.5,3.0
